date_time,tempC,HR,pressure,HRsoil,Vsensor
08/06/2024 00:02:00, 19.45, 81.19, 1015.21, 96, 0.902
08/06/2024 00:12:00, 19.48, 81.02, 1015.14, 96, 0.903
08/06/2024 00:22:00, 19.47, 80.96, 1015.13, 95, 0.904
08/06/2024 00:32:00, 19.47, 81.10, 1015.13, 96, 0.899
08/06/2024 00:42:00, 19.47, 80.82, 1015.12, 95, 0.904
08/06/2024 00:52:00, 19.36, 80.79, 1014.95, 96, 0.903
08/06/2024 01:02:00, 19.27, 80.78, 1014.87, 96, 0.901
08/06/2024 01:12:00, 19.27, 80.62, 1014.87, 96, 0.903
08/06/2024 01:22:00, 19.26, 80.60, 1014.86, 96, 0.903
08/06/2024 01:32:00, 19.06, 80.63, 1014.86, 95, 0.904
08/06/2024 01:42:00, 18.92, 80.90, 1014.89, 95, 0.904
08/06/2024 01:52:00, 18.77, 81.21, 1014.85, 96, 0.899
08/06/2024 02:02:00, 18.74, 81.73, 1014.86, 96, 0.900
08/06/2024 02:12:00, 18.76, 81.58, 1014.79, 96, 0.899
08/06/2024 02:22:00, 18.73, 81.53, 1014.57, 96, 0.902
08/06/2024 02:32:00, 18.66, 81.67, 1014.63, 96, 0.901
08/06/2024 02:42:00, 18.60, 81.54, 1014.48, 96, 0.902
08/06/2024 02:52:00, 18.52, 81.42, 1014.32, 96, 0.900
08/06/2024 03:02:00, 18.35, 81.62, 1014.14, 96, 0.903
08/06/2024 03:12:00, 18.20, 81.76, 1014.04, 96, 0.901
08/06/2024 03:22:00, 18.06, 81.94, 1013.90, 96, 0.903
08/06/2024 03:32:00, 17.94, 82.15, 1013.81, 96, 0.902
08/06/2024 03:42:00, 17.86, 82.11, 1013.78, 96, 0.896
08/06/2024 03:52:00, 17.79, 82.24, 1013.60, 96, 0.903
08/06/2024 04:02:00, 17.70, 82.31, 1013.48, 96, 0.901
08/06/2024 04:12:00, 17.65, 82.72, 1013.39, 96, 0.899
08/06/2024 04:22:00, 17.60, 82.53, 1013.23, 96, 0.897
08/06/2024 04:32:00, 17.58, 82.90, 1013.18, 96, 0.899
08/06/2024 04:42:00, 17.57, 82.90, 1013.17, 96, 0.901
08/06/2024 04:52:00, 17.55, 82.90, 1013.08, 96, 0.901
08/06/2024 05:02:00, 17.56, 83.17, 1012.77, 96, 0.899
08/06/2024 05:12:00, 17.51, 83.15, 1012.75, 96, 0.900
08/06/2024 05:22:00, 17.50, 83.24, 1012.65, 95, 0.904
08/06/2024 05:32:00, 17.48, 83.25, 1012.66, 96, 0.901
08/06/2024 05:42:00, 17.45, 83.41, 1012.56, 96, 0.900
08/06/2024 05:52:00, 17.42, 83.34, 1012.48, 96, 0.899
08/06/2024 06:02:00, 17.37, 83.10, 1012.44, 96, 0.897
08/06/2024 06:12:00, 17.35, 83.33, 1012.42, 96, 0.903
08/06/2024 06:22:00, 17.37, 83.56, 1012.50, 96, 0.902
08/06/2024 06:32:00, 17.41, 84.31, 1012.52, 97, 0.895
08/06/2024 06:42:00, 17.48, 83.89, 1012.53, 96, 0.896
08/06/2024 06:52:00, 17.54, 83.89, 1012.54, 96, 0.903
08/06/2024 07:02:00, 17.60, 83.88, 1012.54, 96, 0.903
08/06/2024 07:12:00, 17.61, 83.81, 1012.54, 96, 0.899
08/06/2024 07:22:00, 17.64, 83.76, 1012.65, 96, 0.897
08/06/2024 07:32:00, 17.68, 83.81, 1012.72, 96, 0.897
08/06/2024 07:42:00, 17.82, 84.13, 1012.73, 96, 0.899
08/06/2024 07:52:00, 17.96, 84.08, 1012.86, 97, 0.895
08/06/2024 08:02:00, 18.07, 84.04, 1012.70, 96, 0.903
08/06/2024 08:12:00, 18.16, 83.95, 1012.66, 96, 0.899
08/06/2024 08:22:00, 18.22, 83.78, 1012.53, 96, 0.899
08/06/2024 08:32:00, 18.32, 83.81, 1012.68, 96, 0.899
08/06/2024 08:42:00, 18.45, 83.76, 1012.51, 95, 0.906
08/06/2024 08:52:00, 18.46, 83.44, 1012.51, 95, 0.907
08/06/2024 09:02:00, 18.82, 83.26, 1012.52, 96, 0.902
08/06/2024 09:12:00, 19.02, 82.95, 1012.49, 95, 0.904
08/06/2024 09:22:00, 19.28, 82.16, 1012.46, 96, 0.903
08/06/2024 09:32:00, 19.29, 81.56, 1012.46, 96, 0.901
08/06/2024 09:42:00, 19.33, 80.67, 1012.47, 95, 0.906
08/06/2024 09:52:00, 19.38, 79.68, 1012.48, 95, 0.904
08/06/2024 10:02:00, 19.45, 79.35, 1012.48, 95, 0.906
08/06/2024 10:12:00, 19.52, 78.75, 1012.49, 95, 0.911
08/06/2024 10:22:00, 19.62, 76.68, 1012.47, 95, 0.911
08/06/2024 10:32:00, 19.74, 75.70, 1012.46, 94, 0.914
08/06/2024 10:42:00, 19.85, 75.30, 1012.45, 95, 0.910
08/06/2024 10:52:00, 19.98, 74.75, 1012.45, 94, 0.915
08/06/2024 11:02:00, 20.13, 73.50, 1012.44, 94, 0.919
08/06/2024 11:12:00, 20.30, 72.28, 1012.44, 94, 0.918
08/06/2024 11:22:00, 20.48, 71.33, 1012.42, 93, 0.921
08/06/2024 11:32:00, 20.68, 70.57, 1012.40, 93, 0.924
08/06/2024 11:42:00, 20.88, 70.54, 1012.38, 93, 0.928
08/06/2024 11:52:00, 21.08, 70.55, 1012.34, 92, 0.930
08/06/2024 12:02:00, 21.29, 70.14, 1012.30, 93, 0.928
08/06/2024 12:12:00, 21.50, 69.97, 1012.25, 93, 0.926
08/06/2024 12:22:00, 21.70, 69.26, 1012.19, 93, 0.926
08/06/2024 12:32:00, 21.91, 68.49, 1012.13, 92, 0.931
08/06/2024 12:42:00, 22.11, 68.19, 1012.06, 93, 0.929
08/06/2024 12:52:00, 22.32, 67.35, 1011.99, 92, 0.936
08/06/2024 13:02:00, 22.53, 66.15, 1011.91, 93, 0.927
08/06/2024 13:12:00, 22.76, 62.63, 1011.81, 92, 0.934
08/06/2024 13:22:00, 23.08, 61.15, 1011.71, 91, 0.942
08/06/2024 13:32:00, 23.39, 59.10, 1011.60, 90, 0.949
08/06/2024 13:42:00, 23.71, 57.40, 1011.46, 90, 0.950
08/06/2024 13:52:00, 24.07, 58.28, 1011.32, 91, 0.943
08/06/2024 14:02:00, 24.47, 54.39, 1011.16, 89, 0.956
08/06/2024 14:12:00, 24.88, 51.58, 1011.00, 94, 0.918
08/06/2024 14:22:00, 25.23, 52.97, 1010.84, 93, 0.923
08/06/2024 14:32:00, 25.56, 51.47, 1010.67, 94, 0.914
08/06/2024 14:42:00, 25.92, 49.24, 1010.50, 94, 0.915
08/06/2024 14:52:00, 26.30, 46.30, 1010.32, 93, 0.923
08/06/2024 15:02:00, 26.63, 51.98, 1010.15, 93, 0.928
08/06/2024 15:12:00, 26.90, 52.78, 1009.97, 93, 0.927
08/06/2024 15:22:00, 27.14, 52.44, 1009.80, 92, 0.932
08/06/2024 15:32:00, 27.33, 55.52, 1009.62, 92, 0.930
08/06/2024 15:42:00, 27.49, 52.46, 1009.45, 93, 0.929
08/06/2024 15:52:00, 27.63, 50.00, 1009.28, 92, 0.933
08/06/2024 16:02:00, 27.77, 57.28, 1009.12, 92, 0.932
08/06/2024 16:12:00, 27.89, 55.75, 1008.96, 93, 0.928
08/06/2024 16:22:00, 27.97, 57.73, 1008.79, 92, 0.930
08/06/2024 16:32:00, 28.01, 58.29, 1008.64, 93, 0.929
08/06/2024 16:42:00, 28.02, 57.72, 1008.51, 93, 0.924
08/06/2024 16:52:00, 28.01, 53.82, 1008.37, 93, 0.923
08/06/2024 17:02:00, 27.98, 60.22, 1008.25, 93, 0.924
08/06/2024 17:12:00, 27.91, 56.60, 1008.13, 94, 0.918
08/06/2024 17:22:00, 27.82, 61.56, 1008.01, 93, 0.922
08/06/2024 17:32:00, 27.70, 59.52, 1007.90, 94, 0.919
08/06/2024 17:42:00, 27.55, 63.43, 1007.78, 95, 0.911
08/06/2024 17:52:00, 27.37, 64.06, 1007.68, 94, 0.918
08/06/2024 18:02:00, 27.16, 65.79, 1007.59, 95, 0.907
08/06/2024 18:12:00, 26.94, 65.67, 1007.51, 95, 0.907
08/06/2024 18:22:00, 26.70, 66.87, 1007.44, 96, 0.902
08/06/2024 18:32:00, 26.43, 68.24, 1007.37, 95, 0.908
08/06/2024 18:42:00, 26.17, 69.67, 1007.33, 95, 0.910
08/06/2024 18:52:00, 25.89, 70.74, 1007.28, 95, 0.907
08/06/2024 19:02:00, 25.63, 71.55, 1007.23, 96, 0.902
08/06/2024 19:12:00, 25.36, 71.88, 1007.20, 96, 0.903
08/06/2024 19:22:00, 25.11, 72.24, 1007.17, 95, 0.905
08/06/2024 19:32:00, 24.87, 73.38, 1007.14, 95, 0.904
08/06/2024 19:42:00, 24.63, 74.43, 1007.13, 95, 0.904
08/06/2024 19:52:00, 24.40, 75.09, 1007.13, 96, 0.903
08/06/2024 20:02:00, 24.19, 75.84, 1007.14, 96, 0.903
08/06/2024 20:12:00, 23.98, 76.21, 1007.14, 96, 0.903
08/06/2024 20:22:00, 23.79, 76.33, 1007.15, 95, 0.908
08/06/2024 20:32:00, 23.61, 76.38, 1007.16, 95, 0.907
